Scenario,ID,Opt-ACH,Opt-GenericWall_1Layer_definitions,Opt-H2KFoundation,Opt-ExposedFloor,Opt-Ceilings,Opt-CasementWindows,Opt-DHWSystem,Opt-DWHRSystem,Opt-HVACSystem,Opt-HRVSpec,Opt-H2K-PV
Rerun,4722, ACH_2_5, Stud_2x6_EPS_R-40, STEP_R25FDN_R11_under,NA, CeilR80, HG-i89-Triple-B, HPHotWater,none,basefurnace, HRV_75,NA
Rerun,4723, ACH_2_5, Stud_2x6_EPS_R-40, STEP_R25FDN_R0_under,NA, CeilR60, HG-i89-Triple-B, HPHotWater, DWHR-eff-55,basefurnace, HRV_60,NA
Rerun,4724, ACH_0_6, Stud_2x6_R18, STEP_BaseFDN_R20_under,NA, CeilR50, HG-i89-Triple-B, HPHotWater,none, CCASHP-ecm,NA,NA
Rerun,4725,ACH_3_5, Stud_2x6_R18, STEP_R16FDN_R11_under,NA, CeilR70, MG-i89-Double,BaseDHW,none,basefurnace, HRV_84, MonoSi-10kW
Rerun,4726, ACH_2_5, Stud_2x4_2in_XPS_R-24, STEP_BaseFDN_R11_under,NA,CeilR40,LG-avg-Double,BaseDHW, DWHR-eff-30,basefurnace, HRV_75, MonoSi-10kW
Rerun,4727,ACH_3_5, Stud_2x6_EPS_R-40, STEP_BaseFDN_R15_under,NA,CeilR40,LG-avg-Double,BaseDHW,none, ComboHeatA, HRV_60, MonoSi-5kW
Rerun,4728, ACH_1_0,Stud_2x6_R16, STEP_R20FDN_R15_under,NA,CeilR40,LG-avg-Double, GasInstantaneous,none,basefurnace, HRV_84, MonoSi-5kW
Rerun,4729, ACH_1_0, Stud_2x6_R18, STEP_R16FDN_R20_under,NA,CeilR40,LG-avg-Double,BaseDHW, DWHR-eff-55,basefurnace,NA, MonoSi-10kW
Rerun,4730, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_R16FDN_R15_under,NA, CeilR100, HG-i89-Triple-B, HPHotWater, DWHR-eff-30,basefurnace, HRV_60,NA
Rerun,4731, ACH_0_6,Stud_2x6_R16,STEP_BaseFDN_R0_under,NA, CeilR60,LG-avg-Double, GasInstantaneous, DWHR-eff-30,basefurnace, HRV_84, MonoSi-5kW
Rerun,4732,ACH_3_5, Stud_2x4_2in_XPS_R-24,STEP_BaseFDN_R0_under,NA, CeilR100, LG-avg-Triple,BaseDHW,  DWHR-eff-42,basefurnace,NA, MonoSi-10kW
Rerun,4733,ACH_3_5, Stud_2x6_R18, STEP_R16FDN_R0_under,NA, CeilR100, LG-avg-Triple,BaseDHW,none,basefurnace, HRV_84, MonoSi-10kW
Rerun,4734, ACH_2_5,Stud_2x6_R16, STEP_BaseFDN_R11_under,NA, CeilR100,LG-avg-Double, HPHotWater, DWHR-eff-55,gas-furnace-ecm, HRV_60, MonoSi-5kW
Rerun,4735, ACH_1_0,Stud_2x6_R16,STEP_BaseFDN_R0_under,NA, CeilR100, HG-avg-Triple,BaseDHW,none,basefurnace,NA, MonoSi-5kW
Rerun,4736, ACH_0_6, Stud_2x6_EPS_R-40, STEP_R16FDN_R0_under,NA,CeilR40,LG-avg-Double, HPHotWater,none, CCASHP-ecm, HRV_70,NA
Rerun,4737,ACH_3_5, Stud_2x6_EPS_R-40,STEP_BaseFDN_R0_under,NA, CeilR80,LG-avg-Double,BaseDHW, DWHR-eff-55, ComboHeatA,NA, MonoSi-5kW
Rerun,4738,ACH_3_5, Stud_2x6_R18, STEP_BaseFDN_R11_under,NA, CeilR100,LG-avg-Double, HPHotWater,none, ComboHeatA, HRV_75, MonoSi-8kW
Rerun,4739, ACH_0_6, Stud_2x6_EPS_R-40,STEP_BaseFDN_R0_under,NA, CeilR60,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_70,NA
Rerun,4740, ACH_2_5,Stud_2x6_R16, STEP_R25FDN_R11_under,NA, CeilR50,LG-avg-Double, GasInstantaneous,none,gas-furnace-ecm,NA, MonoSi-10kW
Rerun,4741, ACH_1_0,Stud_2x6_R16, STEP_R16FDN_R11_under,NA, CeilR50,LG-avg-Double, GasInstantaneous,none,basefurnace, HRV_84, MonoSi-5kW
Rerun,4742, ACH_0_6,Stud_2x6_R16, STEP_R25FDN_R11_under,NA, CeilR70, HG-avg-Triple, HPHotWater,none, CCASHP-ecm,NA,NA
Rerun,4743, ACH_0_6, Stud_2x6_R18, STEP_R20FDN_R11_under,NA, CeilR80,LG-avg-Double,BaseDHW, DWHR-eff-30,gas-furnace-ecm, HRV_60, MonoSi-5kW
Rerun,4744, ACH_2_5, Stud_2x6_R18, STEP_R16FDN_R0_under,NA, CeilR60,LG-avg-Double,BaseDHW, DWHR-eff-55,gas-furnace-ecm, HRV_84, MonoSi-8kW
Rerun,4745, ACH_2_5, Stud_2x6_EPS_R-40, STEP_R25FDN_R0_under,NA,CeilR40, HG-i89-Triple-B, HPHotWater, DWHR-eff-55,basefurnace, HRV_84,NA
Rerun,4746,ACH_3_5, Stud_2x6_R18, STEP_R16FDN_R11_under,NA,CeilR40, HG-i89-Triple-B,BaseDHW,none,basefurnace, HRV_60, MonoSi-5kW
Rerun,4747, ACH_1_0, Stud_2x4_2in_XPS_R-24, STEP_R25FDN_R0_under,NA, CeilR60, HG-i89-Triple-B, HPHotWater,none,gas-furnace-ecm, HRV_84,NA
Rerun,4748, ACH_1_5, Stud_2x6_EPS_R-40, STEP_R25FDN_R0_under,NA, CeilR60, HG-i89-Triple-B, HPHotWater, DWHR-eff-30,gas-furnace-ecm,NA,NA
Rerun,4749, ACH_1_5,Stud_2x6_R16, STEP_R20FDN_R11_under,NA,CeilR40,LG-avg-Double,BaseDHW, DWHR-eff-30,basefurnace, HRV_84, MonoSi-10kW
Rerun,4750, ACH_2_5,Stud_2x6_R16, STEP_R16FDN_R0_under,NA, CeilR100, MG-i89-Double,BaseDHW,none,basefurnace, HRV_60, MonoSi-8kW
Rerun,4751,ACH_3_5,Stud_2x6_R16, STEP_BaseFDN_R20_under,NA,CeilR40, MG-i89-Double, HPHotWater,  DWHR-eff-42,basefurnace, HRV_75, MonoSi-5kW
Rerun,4752,ACH_3_5,Stud_2x6_R16, STEP_R16FDN_R0_under,NA, CeilR100, HG-i89-Triple-B,BaseDHW,none,basefurnace, HRV_60, MonoSi-5kW
Rerun,4753, ACH_2_5, Stud_2x6_XPS_R-22, STEP_R16FDN_R20_under,NA,CeilR40, HG-avg-Triple, HPHotWater,none, CCASHP-ecm, HRV_70,NA
Rerun,4754, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_R16FDN_R20_under,NA, CeilR80, MG-HP-Double, HPHotWater,none, CCASHP-ecm,NA,NA
Rerun,4755, ACH_0_6,Stud_2x6_R16,STEP_BaseFDN_R0_under,NA,CeilR40, MG-i89-Double,BaseDHW, DWHR-eff-55,gas-furnace-ecm, HRV_84, MonoSi-5kW
Rerun,4756,ACH_3_5,Stud_2x6_R16, STEP_R25FDN_R11_under,NA, CeilR50, MG-i89-Double, ElectricStorage,none, ComboHeatA, HRV_84, MonoSi-5kW
Rerun,4757,ACH_3_5, Stud_2x4_2in_XPS_R-24,STEP_BaseFDN_R0_under,NA, CeilR100, LG-avg-Triple, GasInstantaneous,  DWHR-eff-42,basefurnace,NA, MonoSi-5kW
Rerun,4758, ACH_1_5, Stud_2x4_2in_XPS_R-24,STEP_BaseFDN_R0_under,NA, CeilR50,LG-avg-Double,BaseDHW, DWHR-eff-30,gas-furnace-ecm,NA, MonoSi-8kW
Rerun,4759, ACH_2_5, Stud_2x4_2in_XPS_R-24, STEP_R25FDN_R0_under,NA,CeilR40,LG-avg-Double, GasInstantaneous, DWHR-eff-30,basefurnace,NA, MonoSi-5kW
Rerun,4760,ACH_3_5,Stud_2x6_R16, STEP_BaseFDN_R20_under,NA, CeilR70, HG-HP-Triple, ElectricStorage,none,basefurnace,NA, MonoSi-5kW
Rerun,4761,ACH_3_5, Stud_2x6_XPS_R-22, STEP_R25FDN_R0_under,NA, CeilR70,LG-avg-Double, GasInstantaneous, DWHR-eff-30,basefurnace, HRV_60, MonoSi-5kW
Rerun,4762, ACH_0_6,Stud_2x6_R16, STEP_R16FDN_R15_under,NA, CeilR70, HG-avg-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm,NA,NA
Rerun,4763,ACH_3_5, Stud_2x4_2in_XPS_R-24, STEP_R20FDN_R20_under,NA, CeilR60,LG-avg-Double, GasInst_Low, DWHR-eff-55,basefurnace, HRV_75, MonoSi-5kW
Rerun,4764, ACH_0_6, Stud_2x6_EPS_R-40, STEP_R25FDN_R20_under,NA, CeilR50,LG-avg-Double, HPHotWater,none, CCASHP-ecm,NA,NA
Rerun,4765, ACH_1_0, Stud_2x6_EPS_R-40, STEP_R20FDN_R11_under,NA, CeilR100,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm,NA,NA
